S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
287,TRH,860.10,-59.90,-6.51,901.60,901.60,860.10,24485.00,920.00,
288,TSHL,473.00,-12.00,-2.47,475.40,496.60,460.00,22757.00,485.00,
289,TVCL,376.00,-23.00,-5.76,406.00,409.00,376.00,55904.00,399.00,
290,UAIL,650.00,11.90,1.86,643.90,664.00,643.00,73491.00,638.10,
291,UHEWA,337.00,-23.00,-6.39,352.80,360.00,337.00,23494.00,360.00,
292,ULBSL,1080.20,-19.80,-1.80,1100.00,1100.00,1078.00,1462.00,1100.00,
293,ULHC,280.50,-16.00,-5.40,302.40,307.00,279.00,58636.00,296.50,
294,UMHL,208.00,-7.00,-3.26,219.30,219.30,204.90,50035.00,215.00,
295,UMRH,365.00,3.00,0.83,369.20,378.00,362.10,124395.00,362.00,
296,UNHPL,199.00,-9.00,-4.33,211.00,215.00,199.00,32689.00,208.00,
297,UNL,42140.00,-490.00,-1.15,43000.00,43000.00,42140.00,20.00,42630.00,
298,UNLB,1071.00,-29.00,-2.64,1120.00,1121.00,1069.10,1190.00,1100.00,
299,UPCL,230.00,-3.00,-1.29,237.60,237.60,224.00,152548.00,233.00,
300,UPPER,199.00,-5.50,-2.69,208.50,208.50,196.90,106482.00,204.50,
301,USHEC,313.00,-7.20,-2.25,320.00,331.50,305.00,40689.00,320.20,
302,USHL,377.80,-8.20,-2.12,382.00,393.70,377.80,11810.00,386.00,
303,USLB,794.90,18.90,2.44,791.50,807.00,764.50,1977.00,776.00,
304,VLBS,616.00,-6.50,-1.04,634.90,647.00,616.00,1884.00,622.50,
305,VLUCL,549.00,14.40,2.69,545.20,588.00,523.90,150275.00,534.60,
306,WNLB,792.00,2.00,0.25,805.70,820.00,792.00,889.00,790.00,
